   ELEMENT       X-STR          Y-STR          XY-STR
    123       -0.252E+03     -0.111E+02      0.384E+01
    124       -0.233E+03     -0.816E+01     -0.394E+01
    125       -0.234E+03     -0.108E+02      0.394E+01
    126       -0.215E+03     -0.795E+01     -0.378E+01
    127       -0.215E+03     -0.106E+02      0.410E+01
    128       -0.197E+03     -0.772E+01     -0.360E+01
    129       -0.197E+03     -0.104E+02      0.427E+01
    130       -0.178E+03     -0.747E+01     -0.342E+01
    131       -0.179E+03     -0.102E+02      0.442E+01
    132       -0.160E+03     -0.720E+01     -0.326E+01
    133       -0.161E+03     -0.987E+01      0.454E+01
    134       -0.142E+03     -0.689E+01     -0.311E+01
    135       -0.143E+03     -0.955E+01      0.465E+01
    136       -0.124E+03     -0.655E+01     -0.298E+01
    137       -0.125E+03     -0.918E+01      0.474E+01
    138       -0.106E+03     -0.618E+01     -0.287E+01
    139       -0.107E+03     -0.878E+01      0.482E+01
    140       -0.886E+02     -0.578E+01     -0.278E+01
    141       -0.891E+02     -0.836E+01      0.488E+01
    142       -0.708E+02     -0.535E+01     -0.270E+01
    143       -0.713E+02     -0.791E+01      0.493E+01
    144       -0.531E+02     -0.490E+01     -0.264E+01
    145       -0.535E+02     -0.744E+01      0.497E+01
    146       -0.353E+02     -0.443E+01     -0.259E+01
    147       -0.357E+02     -0.695E+01      0.500E+01
    148       -0.176E+02     -0.394E+01     -0.255E+01
    149       -0.180E+02     -0.646E+01      0.502E+01
    150        0.130E+00     -0.345E+01     -0.253E+01
    151       -0.289E+00     -0.596E+01      0.503E+01
    152        0.178E+02     -0.295E+01     -0.252E+01
    153        0.174E+02     -0.546E+01      0.503E+01
    154        0.356E+02     -0.245E+01     -0.253E+01
    155        0.352E+02     -0.497E+01      0.502E+01
    156        0.533E+02     -0.195E+01     -0.254E+01
    157        0.529E+02     -0.448E+01      0.500E+01
    158        0.711E+02     -0.146E+01     -0.257E+01
    159        0.707E+02     -0.400E+01      0.498E+01
    160        0.889E+02     -0.980E+00     -0.261E+01
    161        0.885E+02     -0.354E+01      0.495E+01
    162        0.107E+03     -0.518E+00     -0.266E+01
    163        0.106E+03     -0.310E+01      0.491E+01
    164        0.125E+03     -0.781E-01     -0.272E+01
    165        0.124E+03     -0.269E+01      0.487E+01
    166        0.143E+03      0.335E+00     -0.278E+01
    167        0.142E+03     -0.230E+01      0.483E+01
    168        0.161E+03      0.715E+00     -0.285E+01
    169        0.160E+03     -0.195E+01      0.478E+01
    170        0.179E+03      0.105E+01     -0.292E+01
    171        0.178E+03     -0.163E+01      0.474E+01
    172        0.197E+03      0.133E+01     -0.300E+01
    173        0.197E+03     -0.139E+01      0.470E+01
    174        0.216E+03      0.154E+01     -0.308E+01
    175        0.215E+03     -0.126E+01      0.463E+01
    176        0.234E+03      0.165E+01     -0.319E+01
    177        0.234E+03     -0.134E+01      0.445E+01
    178        0.253E+03      0.165E+01     -0.342E+01
    179        0.252E+03     -0.150E+01      0.402E+01
    180        0.271E+03      0.162E+01     -0.379E+01
    181       -0.271E+03     -0.115E+02      0.408E+01
    182       -0.252E+03     -0.837E+01     -0.394E+01
    183       -0.252E+03     -0.113E+02      0.411E+01
    184       -0.233E+03     -0.827E+01     -0.376E+01
    185       -0.233E+03     -0.111E+02      0.421E+01
    186       -0.215E+03     -0.808E+01     -0.357E+01
    187       -0.215E+03     -0.108E+02      0.437E+01
    188       -0.196E+03     -0.786E+01     -0.336E+01
    189       -0.197E+03     -0.106E+02      0.454E+01
    190       -0.178E+03     -0.759E+01     -0.315E+01
    191       -0.179E+03     -0.103E+02      0.471E+01
    192       -0.160E+03     -0.730E+01     -0.296E+01
    193       -0.161E+03     -0.995E+01      0.487E+01
    194       -0.142E+03     -0.697E+01     -0.278E+01
    195       -0.143E+03     -0.960E+01      0.501E+01
    196       -0.124E+03     -0.662E+01     -0.262E+01
    197       -0.125E+03     -0.922E+01      0.513E+01
    198       -0.106E+03     -0.623E+01     -0.247E+01
    199       -0.107E+03     -0.881E+01      0.523E+01
    200       -0.886E+02     -0.582E+01     -0.235E+01
    201       -0.890E+02     -0.838E+01      0.532E+01
    202       -0.708E+02     -0.539E+01     -0.225E+01
    203       -0.712E+02     -0.792E+01      0.539E+01
    204       -0.530E+02     -0.493E+01     -0.217E+01
    205       -0.534E+02     -0.745E+01      0.545E+01
    206       -0.353E+02     -0.445E+01     -0.210E+01
    207       -0.357E+02     -0.697E+01      0.549E+01
    208       -0.176E+02     -0.397E+01     -0.206E+01
    209       -0.180E+02     -0.647E+01      0.551E+01
    210        0.140E+00     -0.347E+01     -0.203E+01
    211       -0.278E+00     -0.597E+01      0.552E+01
    212        0.178E+02     -0.297E+01     -0.202E+01
    213        0.174E+02     -0.548E+01      0.552E+01
    214        0.356E+02     -0.247E+01     -0.203E+01
    215        0.351E+02     -0.498E+01      0.551E+01
    216        0.533E+02     -0.197E+01     -0.205E+01
    217        0.529E+02     -0.450E+01      0.548E+01
    218        0.711E+02     -0.149E+01     -0.209E+01
    219        0.706E+02     -0.403E+01      0.544E+01
    220        0.889E+02     -0.101E+01     -0.214E+01
    221        0.884E+02     -0.358E+01      0.539E+01
    222        0.107E+03     -0.558E+00     -0.221E+01
    223        0.106E+03     -0.315E+01      0.533E+01
    224        0.125E+03     -0.127E+00     -0.229E+01
    225        0.124E+03     -0.275E+01      0.526E+01
    226        0.143E+03      0.273E+00     -0.239E+01
    227        0.142E+03     -0.239E+01      0.518E+01
    228        0.161E+03      0.636E+00     -0.250E+01
    229        0.160E+03     -0.207E+01      0.509E+01
    230        0.179E+03      0.952E+00     -0.263E+01
    231        0.178E+03     -0.181E+01      0.499E+01
    232        0.197E+03      0.121E+01     -0.277E+01
    233        0.197E+03     -0.163E+01      0.486E+01
    234        0.215E+03      0.140E+01     -0.294E+01
    235        0.215E+03     -0.155E+01      0.468E+01
