    NODE     X-DISP         Y-DISP
   173      0.900E-09     -0.348E-06
   174      0.134E-08     -0.348E-06
   175      0.178E-08     -0.348E-06
   176      0.223E-08     -0.348E-06
   177      0.267E-08     -0.347E-06
   178      0.312E-08     -0.347E-06
   179      0.356E-08     -0.347E-06
   180      0.401E-08     -0.347E-06
   181      0.447E-08     -0.347E-06
   182      0.492E-08     -0.347E-06
   183      0.538E-08     -0.347E-06
   184      0.584E-08     -0.346E-06
   185      0.631E-08     -0.346E-06
   186      0.677E-08     -0.346E-06
   187     -0.806E-08     -0.346E-06
   188     -0.750E-08     -0.346E-06
   189     -0.695E-08     -0.347E-06
   190     -0.640E-08     -0.347E-06
   191     -0.586E-08     -0.347E-06
   192     -0.531E-08     -0.347E-06
   193     -0.477E-08     -0.347E-06
   194     -0.423E-08     -0.347E-06
   195     -0.370E-08     -0.347E-06
   196     -0.316E-08     -0.347E-06
   197     -0.263E-08     -0.347E-06
   198     -0.210E-08     -0.347E-06
   199     -0.157E-08     -0.347E-06
   200     -0.104E-08     -0.347E-06
   201     -0.507E-09     -0.347E-06
   202      0.215E-10     -0.347E-06
   203      0.550E-09     -0.347E-06
   204      0.108E-08     -0.347E-06
   205      0.161E-08     -0.347E-06
   206      0.214E-08     -0.347E-06
   207      0.267E-08     -0.347E-06
   208      0.320E-08     -0.347E-06
   209      0.374E-08     -0.347E-06
   210      0.428E-08     -0.347E-06
   211      0.482E-08     -0.347E-06
   212      0.536E-08     -0.346E-06
   213      0.590E-08     -0.346E-06
   214      0.645E-08     -0.346E-06
   215      0.700E-08     -0.346E-06
   216      0.756E-08     -0.346E-06
   217      0.812E-08     -0.346E-06
   218     -0.940E-08     -0.346E-06
   219     -0.875E-08     -0.346E-06
   220     -0.811E-08     -0.346E-06
   221     -0.746E-08     -0.346E-06
   222     -0.683E-08     -0.346E-06
   223     -0.619E-08     -0.346E-06
   224     -0.556E-08     -0.346E-06
   225     -0.493E-08     -0.347E-06
   226     -0.431E-08     -0.347E-06
   227     -0.369E-08     -0.347E-06
   228     -0.306E-08     -0.347E-06
   229     -0.244E-08     -0.347E-06
   230     -0.183E-08     -0.347E-06
   231     -0.121E-08     -0.347E-06
   232     -0.591E-09     -0.347E-06
   233      0.254E-10     -0.347E-06
   234      0.642E-09     -0.347E-06
   235      0.126E-08     -0.347E-06
   236      0.188E-08     -0.347E-06
   237      0.249E-08     -0.347E-06
   238      0.311E-08     -0.346E-06
   239      0.374E-08     -0.346E-06
   240      0.436E-08     -0.346E-06
   241      0.499E-08     -0.346E-06
   242      0.562E-08     -0.346E-06
   243      0.625E-08     -0.346E-06
   244      0.688E-08     -0.346E-06
   245      0.752E-08     -0.346E-06
   246      0.817E-08     -0.345E-06
   247      0.882E-08     -0.345E-06
   248      0.947E-08     -0.345E-06
   249     -0.107E-07     -0.345E-06
   250     -0.100E-07     -0.345E-06
   251     -0.926E-08     -0.345E-06
   252     -0.853E-08     -0.345E-06
   253     -0.780E-08     -0.346E-06
   254     -0.707E-08     -0.346E-06
   255     -0.635E-08     -0.346E-06
   256     -0.563E-08     -0.346E-06
   257     -0.492E-08     -0.346E-06
   258     -0.421E-08     -0.346E-06
   259     -0.350E-08     -0.346E-06
   260     -0.279E-08     -0.346E-06
   261     -0.208E-08     -0.346E-06
   262     -0.138E-08     -0.346E-06
   263     -0.675E-09     -0.346E-06
   264      0.293E-10     -0.346E-06
   265      0.733E-09     -0.346E-06
   266      0.144E-08     -0.346E-06
   267      0.214E-08     -0.346E-06
   268      0.285E-08     -0.346E-06
   269      0.356E-08     -0.346E-06
   270      0.427E-08     -0.346E-06
   271      0.498E-08     -0.346E-06
   272      0.570E-08     -0.345E-06
   273      0.641E-08     -0.345E-06
   274      0.714E-08     -0.345E-06
   275      0.786E-08     -0.345E-06
   276      0.859E-08     -0.345E-06
   277      0.933E-08     -0.345E-06
   278      0.101E-07     -0.344E-06
   279      0.108E-07     -0.344E-06
   280     -0.121E-07     -0.344E-06
   281     -0.112E-07     -0.344E-06
   282     -0.104E-07     -0.344E-06
   283     -0.958E-08     -0.345E-06
   284     -0.877E-08     -0.345E-06
   285     -0.795E-08     -0.345E-06
   286     -0.714E-08     -0.345E-06
   287     -0.633E-08     -0.345E-06
   288     -0.553E-08     -0.345E-06
